"name","type","country","flavor_profile","origin","harvest_season","code","price_per_kg","price_per_pkg","grade","altitude","density","processing_method","variety"
"哥伦比亚 金迪欧 苏利亚庄园 柑橘日晒","premium","哥伦比亚","柳橙 菠萝 奇异果 红糖","苏利亚庄园/Quindio金迪欧","2023","S30-9","120.0","","Supremo","1700-1850M","890g/l","橘子日晒",""
"哥伦比亚 天堂庄园 Delagua 厌氧日晒","premium","哥伦比亚","养乐多 红糖 葡萄 菠萝干 蔗糖 青茶","Sierra Nevada","2023","S29-1","195.0","","supremo","2000M","829g/l","厌氧日晒","Castillo"
"哥伦比亚 蒙特布兰克庄园 紫卡杜拉 薄荷水洗","premium","哥伦比亚","薄荷巧克力 香蕉清冰 肉桂 冰糖","Monteblanco/HUILA","2023","S31-4","","","Supremo","1700-1850M","","薄荷水洗处理","紫卡杜拉"
"哥伦比亚 分界线庄园 大肚脐 双重发酵日晒","premium","哥伦比亚","红樱桃 葡萄 黄桃 血橙 玫瑰花香 葡萄酒 利口酒 发酵自然清新 果汁感丰富","慧兰Huila Finca El Diviso","2024","S28-9","330.0","","Supremo","1700M","816g/l","双重发酵日晒","Ombligon"
"哥伦比亚 蒙特布兰克庄园 紫卡杜拉 荔枝气泡","premium","哥伦比亚","水蜜桃 百香果 黄柠檬 明亮柠酸 果茶茶感","Monteblanco/HUILA","2024","S31-5","","","Supremo","1900M","","百香果酵母厌氧水洗","紫卡杜拉"
"哥伦比亚 圣荷西庄园 兰姆酒桶发酵 水洗","premium","哥伦比亚","兰姆酒 麝香葡萄 樱桃 核果 酒香巧克力 莱姆香气 酸值明亮带花香 口感绵密转甜","Caldas/Finca San Jose Estate","2024","S30-4","360.0","","","1750M","842g/l","水洗法 （兰姆酒桶发酵）","Castillo"
"花月夜. 哥伦比亚 慧兰 艾斯维多加汀庄园 厌氧日晒","premium","花月夜.","菠萝 芒果 荔枝 哈密瓜","HUILA","2024","S32-4","195.0","","Supremo","1800m","863g/l","厌氧日晒处理","Caturra/卡杜拉"
"玫瑰谷. 哥伦比亚 大树庄园 双重厌氧水洗","premium","玫瑰谷.","草莓酱 水蜜桃 香蕉 蜜瓜","Santander","2025","S32-5","195.0","","Supremo","1700m","865g/l","双重厌氧水洗","Caturra/卡杜拉"
"哥伦比亚 鲜花庄园 厌氧水洗 粉红波旁","premium","哥伦比亚","花香 血橙 莓果多汁 中等body","HUILA 鲜花庄园/Las Flores","2024","S33","210.0","","Supremo","1900+M","904g/l","厌氧水洗","粉红波旁"
"哥伦比亚 慧兰 巴塔尼亚庄园 奇罗索 水洗","premium","哥伦比亚","花香 橙子 茴香香草 带有焦糖 巧克力和橘子的香气 花香和李子的余韵 口感干净丝滑","慧兰 Finca Betania","2025","S33-1","210.0","","Supremo","1800M","882g/l","双重发酵水洗","奇洛索/Chiroso"
"哥伦比亚 心动庄园 辣椒波旁 水洗","premium","哥伦比亚","茉莉花香 葡萄柚 蓝莓 甜橙 轻香料 干净 酸质柔和","慧兰 FINCA PLOP","2025","S33-2","205.0","","Supremo","1800M","868g/l","半水洗发酵","辣椒波旁/Bourbon Ají"
"哥伦比亚 鲜花庄园 奇洛索 厌氧日晒","premium","哥伦比亚","芒果 菠萝蜜 草莓 热带果汁","慧兰HUILA 鲜花庄园/Las Flores","2025","S33-1A","300.0","","Supremo","1900+M","826g/l","厌氧日晒处理","奇洛索/Chiroso"
"哥伦比亚 贝塔尼亚庄园 水洗 粉红波旁","premium","哥伦比亚","花香 茉莉花 芒果 红糖和柑橘香","HUILA FINCA BETANIA","2025","S32-8","160.0","","Supremo","1800+M","853g/l","水洗处理","粉红波旁"
"哥伦比亚 微风庄园 苏丹如梅 日晒","premium","哥伦比亚","红色水果 香草和焦糖 啜吸带有甜瓜和木瓜的味道 尾韵有芒果和猕猴桃的香气 苹果酸度 多汁的口感","慧兰 Finca Las Brisas","2025","S32-7","336.0","","Supremo","1800M","830g/l","日晒处理","苏丹如梅 （Sudan Rume）"
"肯尼亚 基里尼亚加 多门处理厂 AA","premium","肯尼亚","白色花香 莓果 酸质明亮 口感干净","Kirinyaga/Dormans处理厂","2024","S34","93.0","","AA","1700-2200M","875g/l","水洗处理","SL28 SL34"
"肯尼亚 涅里 鲁木齐亚合作社AA 微批次","premium","肯尼亚","乌梅 圣女果 柑橘 黑醋粟 风味干净","涅里/Rumukia Farmer Co-Operative Society","2025","S33-5","135.0","","AA","1850M","884g/l","72小时水洗","SL28 SL34"
"肯尼亚 涅里 鲁沙卡 AA 微批次","premium","肯尼亚","莓果 柑橘的明亮酸度； 伴随红糖 果茶的尾韵 口感饱满","涅里/RUSHAKA FCS","2025","S33-4","125.0","","AA","1770-1900M","845g/l","水洗处理","SL28 SL34"
"肯尼亚 涅里 阿古辛 厌氧日晒","premium","肯尼亚","红酒 莓果 李子 甜瓜","涅里/RUSHAKA FCS","2024","S33-3A","150.0","","AA","1650-1800M","870g/l","厌氧日晒","SL28 SL34"
"肯尼亚 涅里 蒂里库 AA 微批次","premium","肯尼亚","浓郁的水果风味 淡淡的花香 令人愉悦的甜感 圆润饱满的口感","涅里/RUSHAKA FCS","2025","S33-4A","128.0","","AA","1880-1970M","865g/l","水洗处理","SL28"
"肯尼亚 麒麟雅加 穆加亚处理厂AA 微批次","premium","肯尼亚","茉莉花香 莓果果汁 黑莓 草莓 柑橘 奶油 酸质柔和愉悦","Mugaya处理厂/Mutira合作社","2025","S33-6","128.0","","AA","1750M","895g/l","水洗处理","SL28 SL34"
"埃塞俄比亚 瑰夏村 Gori 瑰夏种 红标批次074 日晒","premium","埃塞俄比亚","黑布林 桃子 红苹果 梨 柑橘 红糖 甜度佳","Shaya地块","2023","G2-3","","","G1","1926--2011M","852g/l","日晒处理","Gori 瑰夏种"
"埃塞俄比亚 瑰夏村 Gori Gesha 红标批次027 日晒","premium","埃塞俄比亚","花香 莓果 热带水果 热巧克力 口感干净","Bangi地块","2025","G2-2","","","G1","1911—2001M","860g/l","日晒处理","Gori Gesha"
"埃塞俄比亚 瑰夏村 Illubabor Forest 红标批次087 日晒","premium","埃塞俄比亚","花香 果酱 橘子 热带水果风味 甜瓜 高甜 丰富多变的滋味","Dimma地块","2023","G2-4","","","G1","1966--2019M","867g/l","日晒处理","Illubabor Gesha"
"空运金标批次 埃塞俄比亚 瑰夏村 批次049 瑰夏1931日晒","premium","空运金标批次","花香 柠檬 甘蔗 山竹 柠檬草","OMA","2025","G1-1","","","G1","1931--2049M","850g/l","日晒处理","Gesha1931"
"空运红标批次041 埃塞俄比亚 瑰夏村 Illubabor Forest日晒","premium","空运红标批次041","水蜜桃 甜杏 柑橘 回味持久","Gaylee 地块","2024","G2","345.0","","G1","1916--1982M","912g/l","日晒处理","Illubabor Forest"
"埃塞俄比亚 2024 TOH6 瑰夏 水洗","premium","埃塞俄比亚","花香 柑橘 桃子 蜂蜜 绿茶 高甜感 口感干净顺滑","Bench Maji/ Kebir","2024","G4-2","143.0","","G1 （竞赛级精品）","1900M+","861g/l","水洗处理","GEISHA"
"埃塞俄比亚 2024 TOH3 水洗","premium","埃塞俄比亚","柠檬 柑橘 莓果 樱桃 黄糖 绿茶茶感","Arach/Molhicha/Mugida","2024","G4-1","105.0","","G1","1943M","880g/l","水洗处理","kurume"
