"name","type","country","flavor_profile","origin","harvest_season","code","price_per_kg","price_per_pkg","grade","altitude","density","processing_method","variety"
"埃塞俄比亚 圣塔维尼 水洗 2025TOH第2名","premium","埃塞俄比亚","茉莉花 柑橘 浆果 热带水果","SIDAMO/Shantawane/ES COFFEE","2025","G3-2","185.0","","G1","1900-2200M","889g/l","水洗处理","Heirloom"
"埃塞俄比亚 西达摩 朵望丘 红蜜 2025TOH第3名","premium","埃塞俄比亚","金桔汁 柠檬 优雅花香 黄糖 柚子茶","西达摩-Arbegona Aklilu阿奇努批次","2025","X5-4","293.0","","G1","2240-2390M","886g/l","红蜜处理","74158"
"埃塞俄比亚 西达摩 卡拉茉 2024TOH日晒冠军批次","premium","埃塞俄比亚","红心芭乐 芒果 黄桃 葡萄干","Sidama Bura Keramo","2024","G4S","470.0","","G1 （竞赛级精品）","2000 - 2300M","905g/l","日晒处理","74110/74158"
"埃塞俄比亚 瑰夏村 Gori Gesha 红标批次031 蜜处理","premium","埃塞俄比亚","草莓 葡萄 芒果 果糖甜","Bangi地块 shewa-jibabu地块","2024","G2-7","","","G1","1911—2001M","870g/l","蜜处理","Gori Gesha"
"埃塞俄比亚 瑰夏村 瑰夏种 日晒处理 （查卡）","premium","埃塞俄比亚","茉莉花香 荔枝 苹果 果汁感 砂糖甜感足","","2024","G3-1","","","G1","1911—2069M","850g/l","日晒处理","瑰夏种"
"埃塞俄比亚 瑰夏村 Gori Gesha 绿标批次070 日晒","premium","埃塞俄比亚","柑橘 杏桃 水蜜桃 高甜度 风味干净 顺滑","shewa-jibabu","2024","G3","","","G1","1973--2069M","860g/l","日晒处理","Gori Gesha"
"埃塞俄比亚 古齐 Kebir梨桃花","premium","埃塞俄比亚","花香 水蜜桃 柠檬 红茶 甜感好","GUJI/Uraga Tebe Haro","2024","G4-5","152.0","","G1","1920-2250M","897g/l","日晒处理","74112"
"埃塞俄比亚 Alo 日晒 蓝色波","premium","埃塞俄比亚","百香果 柑橘 香橙 花香 可可","Sidama Nensebo Alo main station","2025","G4-6","136.0","","G1","2300M+","860g/l","传统日晒后干燥12-14天","74158"
"埃塞俄比亚 耶加雪菲 阿达朵 日晒","premium","埃塞俄比亚","花香 热带水果 葡萄 石榴汁 柠檬 西柚 咖啡花 口感柔和顺滑","Adado处理厂","2024","X1-4","100.0","","G1","2000-2400M","860g/l","日晒处理","Heirloom"
"埃塞俄比亚 耶加雪菲 树上干果日晒 G1","premium","埃塞俄比亚","玫瑰花 茉莉花香 柠檬 红酒 红茶 甜度很高","GERSE/MPC","2025","X1-5","170.0","","G1","1900-2200M","857g/l","树上干果日晒","Heirloom"
"埃塞俄比亚 西达摩 班莎 Alo 果皮浸渍厌氧日晒 微批次","premium","埃塞俄比亚","木槿花 水果酒 草莓 树莓 酸质活泼 风味丰富","西达摩 班莎 Alo main station","2024","G4-3","290.0","","G1","2300M+","885g/l","果皮浸渍厌氧 （Mosto）","74158"
"埃塞俄比亚 歌迪贝 切切里 G1日晒","premium","埃塞俄比亚","花香 草莓 水蜜桃 蔓越莓 水果糖 蜂蜜 绿茶 口感顺滑","CHELCHELE/GEDEB","2025","X1-1","128.0","","G1","1950-2200M","870g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩 Keramo Morke 日晒","premium","埃塞俄比亚","花香 柑橘 甜杏 芒果 樱桃 热带水果 甜感很好 香气浓郁","西达摩 / Bura Morke","2025","G4-7","178.0","","G1","2360-2540M","879g/l","日晒处理","74158"
"埃塞俄比亚 西达摩 Keramo Faﬁcho 日晒","premium","埃塞俄比亚","花香 柑橘 草莓 芒果 樱桃 黄糖 红茶","西达摩 / Bura Faﬁcho","2025","G4-8","145.0","","G1","2400M","880g/l","日晒处理","74158"
"埃塞俄比亚 班可 果丁丁G1 日晒","premium","埃塞俄比亚","茉莉花 柑橘 莓果 甜杏桃 果汁感","Banko Gotiti Gedeb","2025","X1-2","120.0","","G1","1950-2150M","872g/l","日晒处理","74110 Heirloom"
"埃塞俄比亚 科切尔 牧羊人G1 厌氧日晒","premium","埃塞俄比亚","葡萄 成熟菠萝 百香果酱 柑橘 白花","Kochere","2024","X4-1","130.0","","G1","1800-2200M","873g/l","厌氧日晒处理","Heirloom"
"埃塞俄比亚 圣塔维尼 红樱桃计划 G1 日晒","premium","埃塞俄比亚","凤梨 蓝莓 甜橙 枫糖","DWD 圣塔维尼处理站","2023","X2-4","116.0","","G1","2050M","884g/l","全红果日晒","74158"
"埃塞俄比亚 耶加雪菲 红樱桃 日晒 G1","premium","埃塞俄比亚","凤梨 柑橘 葡萄 焦糖 果汁感","Yirgacheﬀe","2023","X2-3","105.0","","G1","2200-2300M","886g/l","日晒处理","Heirloom"
"埃塞俄比亚 班莎 圣塔维尼 G1 全红果 日晒","premium","埃塞俄比亚","葡萄 荔枝 凤梨 热带水果 红茶 高甜度","Bensa/Shantawene/Ayla处理站","2025","X2-5","118.0","","G1","2050M","887g/l","全红果日晒","74158"
"埃塞俄比亚 耶加雪菲 沃特 孔加 日晒","premium","埃塞俄比亚","茉莉花香 热带水果 波萝蜜 蓝莓 草莓果酱 口感很干净","Konga 附近的小咖啡种植户","2023","X1-6","90.0","","G1","1850-2050M","890g/l","日晒处理","Heirloom"
"埃塞俄比亚 西达摩 圣塔维尼 红樱桃计划 96小时厌氧日晒","premium","埃塞俄比亚","巨峰葡萄 柑橘 蓝莓 蔓越莓 热带水果 红酒","圣塔维尼处理站","2025","X2-6","150.0","","G1","2050M","863g/l","全红果96小时厌氧日晒","74158"
"埃塞俄比亚 耶加雪菲 阿瑞查 阿朵斯处理厂 厌氧日晒 （22天日晒）","premium","埃塞俄比亚","番石榴 波萝蜜 杨桃 紫葡萄 黑醋粟 肉桂 白兰地","阿瑞查/Adorsi处理厂","2022","X3","210.0","","G1","1950-2100M","858g/l","厌氧日晒(22天日晒)","Heirloom"
"埃塞俄比亚 耶加雪菲 阿朵斯 阿瑞查 日晒","premium","埃塞俄比亚","紫色葡萄 成熟凤梨 蓝莓 草莓 花香 余韵持久","阿瑞查/ Testi Adorsi Washing Station","2025","X2-1","118.0","","G1","2150-2250M","873g/l","日晒处理","74110"
"埃塞俄比亚 西达摩G1 古齐 乌拉嘎 黄蜜处理","premium","埃塞俄比亚","水蜜桃 果汁感 酸质丰富 甜感好 风味均衡干净","Guji uraga / Solomo","2025","X5-3","135.0","","G1","2200M","818g/l","黄蜜处理","Heirloom"
"埃塞俄比亚 瑰夏山 红酒日晒","premium","埃塞俄比亚","番石榴 柑橘 红色莓果 枫糖 高甜 香气浓郁 口感干净","Bench Maji Karmach 庄园","2024","X6-2","120.0","","G1","1900-2000M","820g/l","铁桶低温日晒处理","Geisha"
"埃塞俄比亚 西达摩G1 贝尔庄园 红酒日晒","premium","埃塞俄比亚","葡萄 莓果 红花香气 热带水果 甜感佳","SIDAMO Bale Mountain","2024","X6-1","","","G1","2350M","853g/l","红酒日晒处理","74110"
"埃塞俄比亚 班其玛吉 瑰夏G1 红蜜处理","premium","埃塞俄比亚","花香 桔子 橙子 甜杏 甜感好","Bench Maji","2025","X5-2","135.0","","G1","1900M+","875g/l","红蜜处理","GEISHA"
"埃塞俄比亚 西达摩 古齐 夏奇索 G1 日晒","premium","埃塞俄比亚","草莓的酸甜风味 柑橘 热带水果 红酒 口感干净","Guji/shakiso/Testi","2024","X7-2","95.0","","G1","1900-2200M","890g/l","日晒处理","Heirloom"
"埃塞俄比亚 古齐 罕贝拉G1 花魁日晒","premium","埃塞俄比亚","玫瑰花香 水蜜桃 蓝莓 草莓糖 荔枝 口感丰富饱满 余韵悠长","HAMBELA/BUKU Abel处理厂","2025","X8","120.0","","G1 Premium","2200-2350M","889g/l","日晒处理","Heirloom"
"埃塞俄比亚 罕贝拉 布库Sayasa 超级日晒","premium","埃塞俄比亚","百香果 西柚 凤梨 热带水果 黑巧克力 高甜度","GUJI /Hambela","2025","X7","132.0","","G1","1900-2300M","883g/l","低温慢速日晒","Heirloom"
"埃塞俄比亚 班其玛吉 瑰夏 日晒","premium","埃塞俄比亚","芒果 菠萝与柚子等丰富浓郁的水果风味 纯净的口感 花香尾韵","","","X10","95.0","","G1","","","",""
"埃塞俄比亚 西达摩G1 花魁日晒","premium","埃塞俄比亚","玫瑰花香 热带水果 香气浓郁 高甜 百香果 水蜜桃 蓝莓 余韵悠长","GUJI/ HAMBELA BUKU Abel处理厂","2023","X9-1","","","G1","2200-2350M","898g/l","日晒处理","Heirloom"
"埃塞俄比亚 班其玛吉 瑰夏 日晒","premium","埃塞俄比亚","","Bench Maji","2023","","","","G1","1900M+","875g/l","日晒处理","GEISHA"
"埃塞俄比亚 戈里森林 南布尔沙庄园 瑰夏 日晒","premium","埃塞俄比亚","花香 甜杏桃 凤梨 莓果 风味干净 口感顺滑","Bench Maji/South Bursha Farm","2023","X9-2","98.0","","G1","1900-2100M","898g/l","日晒处理","GEISHA"
"埃塞俄比亚 古齐 罕贝拉G1 花魁日晒","premium","埃塞俄比亚","玫瑰花香 水蜜桃 蓝莓 草莓糖 荔枝 口感丰富饱满 余韵悠长","HAMBELA/BUKU Abel处理厂","2025","X8-1","115.0","","G1","2200-2350M","889g/l","日晒处理","Heirloom"
"埃塞俄比亚 格拉纳庄园 瑰夏 日晒 G1","premium","埃塞俄比亚","草莓 苹果 柠檬等浓烈的水果香气 成熟果实的甜感 清爽复杂的口感","Gelana","2025","X10-1","120.0","","G1","1600M","906g/l","日晒处理","GEISHA"
"埃塞俄比亚 班奇马吉 瑰夏G1 日晒","premium","埃塞俄比亚","花香 柑橘 杮子 热带水果风味 蜂蜜 甜感强","Bench Maji","2024","X9-6","135.0","","G1","1900M+","855g/l","日晒处理","GEISHA"
"埃塞俄比亚 班其玛吉 瑰夏1931 紫果日晒","premium","埃塞俄比亚","花香 柑橘 热带水果 杏桃 香气浓郁","Bench Maji","2025","X9-3","120.0","","G1","1900M+","840g/l","日晒处理","GEISHA1931"
"埃塞俄比亚 耶加雪菲 伊迪朵 水洗 G1","premium","埃塞俄比亚","花香浓郁 明亮果酸 柑橘 蜂蜜 口感清新","Idido/ Testi Adorsi Washing Station","2024","X10-7","90.0","","G1","1900-2200M","828g/l","水洗处理","Heirloom"
"埃塞俄比亚 科切尔 牧羊人 水洗 G1","premium","埃塞俄比亚","花香气明显 蜂蜜香草 樱桃酸不刺激 蜂蜜 高级榛果 白柚风味 甜感细腻 余味蜂蜜甜与樱桃果酸很融合且持久","Kochere/Gedeo","2024","X10-9","110.0","","G1","1800-2200M","882g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 阿瑞查 水洗 G1","premium","埃塞俄比亚","花香 柑橘 水蜜桃 荔枝 口感干净顺滑","Idido/ Testi Adorsi Washing Station","2024","X10-4","90.0","","G1","1900-2200M","853g/l","水洗处理","KERUME"
"埃塞俄比亚 耶加雪菲 歌迪贝 果丁丁 TOH水洗9th","premium","埃塞俄比亚","茉莉花 蓝莓 香橙 热带水果 抹茶","Banko Gotiti Gedeb","2025","X10-3","120.0","","G1","2000-2300M","852g/l","水洗处理","Heirloom"
"埃塞俄比亚 班其玛吉 瑰夏 G1 水洗","premium","埃塞俄比亚","花香 柑橘 细腻果酸 浓郁的水果风味 口感干净平衡","Bench Maji","2024","X10-2S","130.0","","G1","1900M+","842g/l","水洗处理","GEISHA"
"埃塞俄比亚 格拉纳庄园 瑰夏G1 厌氧日晒","premium","埃塞俄比亚","草莓 葡萄 莓果 柑橘 热带水果 甜感强 丰富复杂的口感","Oromia/Gelana","2025","X10-2","130.0","","G1","1600M","823g/l","厌氧日晒处理","GEISHA"
"埃塞俄比亚 格拉纳庄园 瑰夏 G1 水洗","premium","埃塞俄比亚","花香 柑橘 佛手柑香气 高甜 绿茶尾韵","Gelana","2025","X10-2A","123.0","","G1","1600M","850g/l","水洗处理","GEISHA"
"埃塞俄比亚 耶加雪菲 科切尔 碧罗亚 水洗G1","premium","埃塞俄比亚","茉莉花 酸质明亮 茶感好 口感干净顺滑","科切尔 / Beloya处理厂","2025","X11","110.0","","G1","1950M","850g/l","水洗处理","Heirloom"
"埃塞俄比亚 耶加雪菲 库克 白兰花 水洗G1","premium","埃塞俄比亚","明亮柑橘酸质 白色花香 莱姆 黄糖 清香绿茶 非常干净","Yirgacheﬀe KOKE","2025","X11-1","125.0","","G1","1973M","876g/l","水洗处理","74110/74112/74165"
"印度尼西亚 苏门答腊 曼特宁G1","common","印度尼西亚","草药 香料 坚果 巧克力 焦糖 低酸值 醇厚 油脂丰富","苏门答腊","","","84.0","","G1","","","",""
"印度尼西亚 苏门答腊 GAYO 曼特宁G1 三次手选","common","印度尼西亚","花香 莓果 香料 苏格兰黄油 黑巧克力 坚果 甜度高 干净 高醇厚度","苏门答腊 GAYO","","","85.0","","G1","","","",""
"越南 罗布斯塔 18目","common","越南","香味浓 香醇 气味独特","","","","85.0","","","","","",""
"印度尼西亚 苏门答腊 林东 曼特宁 G1 三次手选","common","印度尼西亚","","Sumatra","2025","I-2","","","G1","1300-1600M","860g/l","湿刨法","Mandeling"
"印度 皇家 罗布斯塔 AA 18目","common","印度","麦芽 黑巧克力 大麦茶 口感干净 味道饱满又扎实","india","2023","IN-1","51.0","","AA","1200-1350M","851g/l","水洗处理","Robusta"
"India Royale AA Robusta Sc-18","common","India","","","","","","","","","","",""
"Indonesia Sumatra Mountain Mandeling G1 GP","common","Indonesia","","","","","","","","","","",""
"乌干达 罗布斯塔 18目","common","乌干达","口感纯净 香气浓郁 拼配的最佳选择","","","","59.0","","","","","",""
"乌干达 布基苏 AA 阿拉比卡 （17/18目）","common","乌干达","坚果香 口感醇厚 干净无杂味","","","","79.0","","","","","",""
"老挝 阿拉比卡 水洗","common","老挝","果香 蜂蜜 核果 醇厚度好 风味均衡 口感细腻浓郁","","","","70.0","","","","","",""
"乌干达 罗布斯塔 15目","common","乌干达","口感纯净 香气浓郁 拼配的最佳选择","","","","56.0","","","","","",""
"乌干达 罗布斯塔 17目","common","乌干达","口感纯净 香气浓郁 坚果 巧克力","","","","58.0","","","","","",""
"云南AAA 水洗 （2025新产季）","common","云南AAA","柑橘 坚果 花香 巧克力 红糖","","","","71.0","","","","","",""
"巴布亚新几内亚 哈根山 Y","common","巴布亚新几内亚","榛子 坚果 莓果 焦糖 蜂蜜 平衡度高","","","","81.0","","","","","",""
"巴布亚新几内亚 哈根山 AX","common","巴布亚新几内亚","柑橘 奶油 黑巧克力 酸度适中 平衡 高甜度 口感厚实","","","","83.0","","","","","",""
"云南 小圆米 水洗","common","云南","坚果 柠檬 橙子 甜感好","","","","64.0","","","","","",""
"巴布亚新几内亚 东高地 Y1水洗","common","巴布亚新几内亚","榛子 坚果 莓果 焦糖 蜂蜜 平衡度高","","","","75.0","","","","","",""
"巴布亚新几内亚 东高地 AX 水洗","common","巴布亚新几内亚","柑橘 莓果 绿茶 酸度适中 枫糖","","","","81.0","","","","","",""
"巴布亚新几内亚 东高地 A","common","巴布亚新几内亚","甘蔗 奶油 坚果 高甜度 平衡感好","","","","83.0","","","","","",""
"巴西 喜拉多 甜蜜日晒","common","巴西","坚果 焦糖及巧克力香气持久 高干净度 低酸度 醇厚 甜度高","","","","91.0","","","","","",""
"巴西 圣多斯","common","巴西","坚果 巧克力 麦芽 甘甜 入口极为顺滑","","","","86.0","","","","","",""
"巴西 喜拉多 日晒","common","巴西","坚果 奶油 可可 巧克力 甜度高","","","","86.0","","","","","",""
"秘鲁 库斯科 水洗","common","秘鲁","坚果 酸质均衡 醇厚浓郁","","","","67.0","","","","","",""
"巴西 14-16目 NY2-3 FC 日晒","common","巴西","坚果 巧克力 麦芽 甘甜","","","","85.0","","","","","",""
"巴西 喜拉多 半日晒","common","巴西","坚果 奶油 可可 巧克力 甜度高","","","","84.0","","","","","",""
"洪都拉斯 水洗 SHG （内袋）","common","洪都拉斯","柠檬 果酸 烤坚果 焦糖饼干 可可 巧克力","","","","82.0","","","","","",""
"哥斯达黎加 塔拉珠 牧童庄园 SHB","common","哥斯达黎加","","","","","90.0","","","","","",""
"哥伦比亚 慧兰 苏帕摩","common","哥伦比亚","坚果类 巧克力和焦糖的湿香 风味十足 口味香醇","","","","90.0","","","","","",""
"哥伦比亚 麦德林 苏帕摩","common","哥伦比亚","甜橙 坚果 巧克力 酸甜平衡感好 香气足","","","","","","","","","",""
"Costa Rica RFA LA PASTORA Tarrazu SHB","common","Costa","蜂蜜 花香 梅子 巧克力 均衡度佳","","","","86.0","","","","","",""
"哥伦比亚 EP10","common","哥伦比亚","甜橙 葡萄柚 坚果 巧克力 酸甜平衡感好 香气足","","","","85.0","","","","","",""
"危地马拉 SHB (无内袋)","common","危地马拉","苹果 中等酸 焦糖 烤杏仁 奶油 黑巧克力 香醇","","","","80.0","","","","","",""
"哥斯达黎加 卡内特庄园 葡萄干蜜处理 音乐家 巴哈","premium","哥斯达黎加","","Canet庄园","2025","S12-1","200.0","190.0","SHB","1950M","845g/l","葡萄干蜜处理","Caturra"
"哥斯达黎加 卡内特 音乐家系列 莫扎特","premium","哥斯达黎加","浓烈酒香 加州黑李 蜜饯 太妃糖甜 瑞士巧克力 尾韵有着兰姆酒般醇厚","Canet庄园","2025","S12-2","180.0","170.0","SHB","1900M","840g/l","葡萄干蜜处理","Caturra"
"哥斯达黎加 米拉珠庄园 厌氧日晒 Maico瑰夏","premium","哥斯达黎加","新鲜菠萝 综合莓果 番石榴酸 蜜饯 焦糖 核果 风味强劲","Mirazu庄园","2023","S12-5","200.0","190.0","SHB","1700M","885g/l","日晒处理","Maico Geisha"
"哥斯达黎加 火凤凰庄园 黑玫瑰 厌氧日晒","premium","哥斯达黎加","茉莉花香 桃子 百香果 香柠檬 伯爵茶 蓝莓果酱 葡萄 凤梨干 水梨","火凤凰庄园/中央山谷","2023","S10-1","","","SHB","1600M","905g/l","厌氧日晒处理","Caturra"
"哥斯达黎加 卡内特庄园 葡萄干蜜处理 音乐家 肖邦","premium","哥斯达黎加","","Canet庄园","2025","S12-3","135.0","125.0","SHB","1700M","837g/l","葡萄干蜜处理","Caturra"
"哥斯达黎加 米拉珠庄园 葡萄干蜜处理 （瑰夏拼配）","premium","哥斯达黎加","葡萄干 酒酿樱桃 黑莓 蔗糖 铁观音 爆炸茉莉花香 柠檬 草莓糖 水蜜桃 水果酒","Mirazu庄园","2025","S12-4","","","SHB","1700M","815g/l","葡萄干蜜处理","Geisha ET47 SL28 Maico"
"哥斯达黎加 米拉珠庄园 卡杜拉 红蜜","premium","哥斯达黎加","杨桃 酸苹果 柑橘 蔗糖 杏仁 红茶","Mirazu庄园","2025","S12-5A","165.0","155.0","SHB","1700M","837g/l","红蜜处理","Caturra"
"哥斯达黎加 小蜜蜂 黑蜜处理","premium","哥斯达黎加","黄花 橘子 枣子 绿茶","SAN VITO/LA ABEJILLA FARM","2023","S12-7","147.0","137.0","SHB","1600M","905g/l","黑蜜处理","Venecia"
"哥斯达黎加 拉斯拉哈斯庄园 黑蜜处理","premium","哥斯达黎加","葡萄干 果酱 菠萝 热带水果 巧克力 红茶","中央山谷/拉斯拉哈斯庄园","2024","S14","147.0","137.0","SHB","1550M","858g/l","黑蜜处理","Caturra"
"哥斯达黎加 拉斯拉哈斯 黑珍珠日晒","premium","哥斯达黎加","黑莓 黑布林 葡萄干 蜜饯 酒香 甜感持久饱满 BODY厚实","中央山谷/拉斯拉哈斯庄园","2023","S14-7","","","SHB","1600M","795g/l","黑珍珠日晒","Caturra"
"哥斯达黎加 巨石庄园 F1黑蜜处理","premium","哥斯达黎加","葡萄干的香气 葡萄干的酸值与甜感 风味有菠萝干与陈皮梅 尾韵带有核桃的香气","Finca Las Piedra","2023","S12-6","140.0","130.0","SHB","1700-1800M","862g/l","黑蜜处理","F1"
"秘鲁 禅茶玛悠 瑰夏 日晒","premium","秘鲁","玫瑰 茉莉 果味 橘子 可可 明亮的酸度 干果 无花果 榛子 持久而柔软的BODY","禅茶玛悠/COOPCHE （库普合作社）","2025","S15","","","SHB","1800M","846g/l","日晒处理","GEISHA"
"秘鲁 禅茶玛悠 瑰夏 厌氧水洗","premium","秘鲁","花香 蓝莓 苹果酸 成熟水果 巧克力 糖浆 奶油 口感柔顺","禅茶玛悠/COOPCHE （库普合作社）","2025","S15-1","","","SHB","1800M","853g/l","厌氧水洗","GEISHA"
