名称,产地,产区,品种,含水量(%),处理法,密度(g/l),等级,海拔(m),产季,每公斤价格(人民币)
埃塞俄比亚 班其玛吉 戈里瑰夏G1 日晒,埃塞俄比亚,Bench Maji,Gori 瑰夏种,11.8,日晒处理,859,G1,1911--2001,2025,120
埃塞俄比亚 格拉纳庄园 瑰夏 日晒 G1,埃塞俄比亚,Gelana,GEISHA,10.4,日晒处理,906,G1,1600,2025,120
埃塞俄比亚 耶加雪菲 歌迪贝 果丁丁 TOH水洗9th,埃塞俄比亚,Banko Gotiti, Gedeb Heirloom,11,水洗处理,852,G1,2000-2300,2025,120
埃塞俄比亚 耶加雪菲 阿瑞查 水洗 G1,埃塞俄比亚,Idido/ Testi Adorsi Washing Station,KERUME,11.7,水洗处理,853,G1,1900-2200,2024,85
埃塞俄比亚 耶加雪菲 伊迪朵 水洗 G1,埃塞俄比亚,Idido/ Testi Adorsi Washing Station,Heirloom,11.8,水洗处理,828,G1,,2024,90
埃塞俄比亚 科切尔 牧羊人 水洗 G1,埃塞俄比亚,Kochere/Gedeo,Heirloom,11.1,水洗处理,882,G1,,2024,110
埃塞俄比亚 耶加雪菲 科切尔 碧罗亚 水洗 G1,埃塞俄比亚,科切尔 /Beloya处理厂,Heirloom,10.8,水洗处理,850,G1,1950,2025,110
埃塞俄比亚 耶加雪菲 库克 白兰花 水洗 G1,埃塞俄比亚,Yirgacheffe KOKE,7410/74112/74165,11.2,水洗处理,876,G1,,2025,125
埃塞俄比亚 班其玛古 戈里瑰夏G1 水洗,埃塞俄比亚,Bench Maji,Gori 莫莱特,10.6,水洗处理,870,G1,1911~2001,2025,120
桃乐茜，埃塞俄比亚 安娜索拉 酵素水洗,埃塞俄比亚,Ana Dora,Heirloom,11.6,酵素水洗,886,G1,1900~2350,2025,225
桂花窖，埃塞俄比亚 耶加雪菲 科切尔,埃塞俄比亚,Kochere,Heirloom,10.7,水洗处理花香法,840,G1,1800~1930,2023,180
茉莉窖，埃塞俄比亚 耶加雪菲 G1,埃塞俄比亚,Kochere,Heirloom,12.4,水洗处理花香法,723,G1,1800~1930,2025,180
埃塞俄比亚 西达摩 G1 古齐 乌拉嘎 水洗,埃塞俄比亚,Guji URAGA,Heirloom,11.3,水洗处理,848,G1,1800~2000,2025,102
埃塞俄比亚 西达摩圣塔维尼 全红果 水洗G1,埃塞俄比亚,Bensa/Shantawene圣塔维尼,Hairloom,11,水洗处理,835,G1,2080~2160,2023,85
埃塞俄比亚 罕贝拉G1 花魁 圆豆 水洗,埃塞俄比亚,GUJI/HAMBELA/Buku ABEL,Hairloom,10.9,水洗处理,877,G1,2200~2350,2025,92
